Dubaha,DUBH,,,,,,
Dubia,DBW,,,,,,
Duddhinagar,DXN,Uttar Pradesh,,,,,
Dudh Sagar,DDS,,,,,,
Dudhsagar Waterfalls,DWF,Goa,[68],,,,
Dudhani,DUD,,,,,,
Dudhia Khurd,DYK,,,,,,
Dudhnoi,DDNI,Assam,NFR/Northeast Frontier,50 m,[69],,
Dudhwakhara,DKX,,,,,,
Dudia,DUK,Rajasthan,,,,,
Dudwindi,DDY,,,,,,
Duganpur,DUN,,,,,,
Dugdol,DGQ,Gujarat,,,,,
Duggirala,DIG,Andhra Pradesh,,,,,
Duhai,DXH,[Uttar Pradesh]|,,,,,
Duliajan,DJG,Assam,,,,,
Dullabcherra,DLCR,Assam,NFR/Northeast Frontier,42 m,[70],,
Dullahapur,DLR,,,,,,
Dulrasar,DUS,,,,,,
Dum Dum,DDJ,West Bengal,ER/Eastern Railway,,,,
Dum Dum Cantonment,DDC,West Bengal,ER/Eastern Railway,,,,
Dumariya,DY,,,,,,
Dumraon,DURE,,,,,,
Dumka,DMKA,Jharkhand,,,,,
Dumuriput,DMRT,Odisha,ECoR / East Coast,,,,
Dundara,DOR,Rajasthan,,,,,
Dundlod MKDGRH,DOB,,,,,,
Dungar Junction,DGJ,,,,,,
Dungarpur,DNRP,Rajasthan,,,,,
Duraundha Junction,DDA,,,,,,
Durgauti,DGO,,,,,,
Durg,DURG,Chhattisgarh,,,,,
Durgapur,DGR,West Bengal,,,,,
Duttapukur,DTK,West Bengal,,,,,
Durgapura,DPA,,,,,,
Duskheda,DSK,,,,,,
Duvvada,DVD,Andhra Pradesh,,,,,
Dwarka,DWK,Gujarat,,,,,
Dwarkaganj,DWJ,,,,,,
,,,,,,,
E[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Ekambara kuppam,EKM,Andhra Pradesh,,,,,
Ekangarsarai,EKR,,,,,,
Ekchari,EKC,,,,,,
Ekma,EM,Kerala,,,,,
Ekma,EKMA,Bihar,,,,,
Elamanur,EL,,,,,,
Elamanchili,YLM,Andhra Pradesh,,,,,
Ellenabad,ENB,Haryana,,,,,
Elphinstone Road,EPR,Maharashtra,WR/Western,,,,
Eluru,EE,Andhra Pradesh,,,,,
Ennore,ENR,Tamil Nadu,SR/Southern,7 m,,,
Eraligu,ELL,Assam,NFR/Northeast Frontier,35 m,[71],,
Eraniel,ERL,Tamil nadu,,,,,
Eravipuram,IRP,Kerala,,,,,
Ernakulam Junction,ERS,Kerala,,,,,
Ernakulam Town,ERN,Kerala,,,,,
Ernakulam Terminus,ERG,Kerala,,,,,
Erode Junction,ED,Tamil Nadu,,,,,
Etah,ETAH,Uttar Pradesh,,,,,
Etawah,ETW,Uttar Pradesh,NCR/North Central Railway,,,,
Ettimadai(Coimbatore),ETMD,Tamil Nadu,,,,,
Etmadpur,ETUE,Uttar Pradesh,,,,,
Etakkot,ETK,Kerala,,,,,
,,,,,,,
F[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Faizabad Junction,FD,Uttar Pradesh,,,,,
Faizullapur,FYZ,,,,,,
Fakhrabad,FKB,,,,,,
Fakiragram Junction,FKM,Assam,NFR/Northeast Frontier,43 m,[72],,
Falakata,FLK,West Bengal,,,,,
Falna,FA,Rajasthan,,,,,
Farah Town,FHT,Uttar Pradesh,,,,,
Farhedi,FRD,,,,,,
Faridabad,FDB,Haryana,,,,,
Faridabad New Town,FDN,Haryana,,,,,
Faridkot,FDK,Punjab,,,,,
Farrukhabad,FBD,Uttar Pradesh,,,,,
Farrukhabad,FKD,,,,,,
Fateh Singhpura,FSP,,,,,,
Fatehabad Chandrawati Ganj Junction,FTD,Madhya Pradesh,,,,,
Fatehgarh,FGR,,,,,,
Fatehgarh Sahib,FGSB,Punjab,,,,,
Fatehnagar,FAN,,,,,,
Fatehpur,FTP,,,,,,
Fatehpur Sikri,FTS,Uttar Pradesh,,,,,
Fatehpur Sekhawati,FPS,Rajasthan,,,,,
Fatuha,FUT,Bihar,ECR(Eastern Central Railway),,,,
Fazalpur,FZL,,,,,,
Fazilka,FKA,Punjab,,,,,
Ferok,FK,Kerala,,,,,
Firozabad,FZD,Uttar Pradesh,,,,,
Firozpur Cant.,FZR,Punjab,,,,,
Firozpur City,FZP,Punjab,,,,,
Forbesganj,FBG,Bihar,,,,,
Furkating Junction,FKG,Assam,,,,,
Fursatganj,FTG,,,,,,
,,,,,,,
G[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Gachhipura,GCH,Rajasthan,NWR,,,,
Gadag Junction,GDG,Karnataka,,,,,
Gadarwara,GAR,Madhya Pradesh,WCR/Jabalpur,357.77 M,[73],,
Gadhakda,GKD,,,,,,
Gadra Road,GDD,,,,,,
Gadwal,GWD,Telangana,,,,,
Gahmar,GMR,Uttar Pradesh,,,,,
Gainjahwa,GAW,,,,,,
Gainsari Junction,GIR,,,,,,
Gaipura,GAE,,,,,,
Gajraula Junction,GJL,Uttar Pradesh,,,,,
Galan,GAA,,,,,,
Gambhiri Road,GRF,,,,,,
Ganagapur Road,GUR,,,,,,
Ganj Dundwara,GWA,,,,,,
Ganaur,GNU,Haryana,,,,,
Gandhi SMRAK_RD,GSX,,,,,,
Gandhidham BG,GIMB,Gujarat,,,,,
Gandhidham Junction,GIM,Gujarat,,,,,
Gandhigram,GG,,,,,,
Gandhinagar JPR,GADJ,Rajasthan,,,,,
Gandhinagar Capital,GNC,Gujarat,,,,,
Ganeshganj,GAJ,,,,,,
Gangaganj,GANG,,,,,,
Gangakher,GNH,Maharashtra,,,,,
Gangapur City,GGC,Rajasthan,,,,,
Gangrar,GGR,,,,,,
Gangsar Jaitu,GJUT,Haryana,,,,,
Ganj basoda,BAQ,Madhya Pradesh,,,,,
Ganjmuradabad,GJMB,,,,,,
Gannavaram,GWM,Andhra Pradesh,,,,,
Garhi Harsaru,GHH,Haryana,,,,,
Garhi Manikpur,GRMR,,,,,,
Garhmuktesar,GMS,Uttar Pradesh,,,,,
Garhmuktesar BR,GGB,Uttar Pradesh,,,,,
Garhwa,GHQ,Jharkhand,,,,,
Garot,GOH,,,,,,
Garwa Road,GHD,Jharkhand,,,,,
Gaura,GRX,,,,,,
Gauri Bazar,GB,,,,,,
Gauri Phanta,GPF,Uttarakhand,,,,,
Gauribidanur,GBD,Karnataka,,,,,
Gauriganj,GNG,Uttar Pradesh,,,,,
Gauripur,GUP,Assam,NFR/Northeast Frontier,32 m,[74],,
Gauriyamau,GMU,,,,,,
Gaushala,GWS,,,,,,
Gautampura Road,GPX,,,,,,
Gaya Junction,GAYA,Bihar,,,,,
Geratpur,GER,,,,,,
Gerita Kolvada,GTKD,,,,,,
Gevra Road,GAD,Chhattisgarh,,,,,
Gevrai,GOI,Maharashtra,,,,,
Ghagghar,GHG,Punjab,,,,,
Ghagwal,GHGL,,,,,,
Ghanauli,GANL,,,,,,
Ghansoli,,Maharashtra,Trans-Harbour (CR),,,,
Gharaunda,GRA,Haryana,,,,,
Ghaso,GSO,,,,,,
Ghataka Varana,GKB,,,,,,
Ghatampur,GTM,,,,,,
Ghatkopar,G,Maharashtra,CR/Central,,,,
Ghatprabha,GPB,Karnataka,,,,,
Ghatsila,GTS,Jharkhand,,,,,
Ghaziabad,GZB,Uttar Pradesh,,,,,
Ghazipur City,GCT,,,,,,
Ghograpur,GOE,Assam,NFR/Northeast Frontier,55 m,[75],,
Gholvad,GVD,Maharashtra,,,,,
Ghoradongri,GDYA,Madhya Pradesh,,,,,
Ghorawadi,GRWD,,,,,,
Ghorpuri,GPR,,,,,,
Ghosipura,GOPA,,,,,,
Ghosunda,GSD,,,,,,
Ghughuli,GH,,,,,,
Ghugus,GGS,Maharashtra,,,,,
Ghutai,GTI,,,,,,
Gidarpindi,GOD,Punjab,,,,,
Giddalur,GID,Andhra Pradesh,,,,,
Giddarbaha,GDB,,,,,,
Gidhaur,GHR,,,,,,
Gir Gadhara,GEG,,,,,,
Gir Hadmatiya,GRHM,,,,,,
Giridih,GRD,Jharkhand,East Central Railway,289 m,[76],,
Girwar,GW,,,,,,
Goalpara Town,GLPT,Assam,NFR/Northeast Frontier,49 m,[77],,
Godha,GDHA,,,,,,
Godhra Junction,GDA,Gujarat,,,,,
Gogameri,GAMI,,,,,,
Gogamukh,GOM,,,,,,
Gohad Road,GOA,,,,,,
Gohana,GHNA,Haryana,,,,,
Gohpur,GPZ,,,,,,
Gokak Road,GKK,Karnataka,,,,,
Gokarna Road,GOK,Karnatak,KRCL,,,,
Gola Gokarannath,GK,Uttar Pradesh,,,,,
Gola Road,GRE,,,,,,
Golakganj Junction,GKJ,Assam,NFR/Northeast Frontier,31 m,[78],,
Golanthra,GTA,,,,,,
Gole,GOLE,,,,,,
Golsar,GOZ,,,,,,
Gomati Nagar,GTNR,,,,,,
Gomoh Junction,GMO,Jharkhand,,,,,
Gonda Junction,GD,,,,,,
Gondal,GDL,Gujarat,,,,,
Gondia Junction,G,Maharashtra,,,,,
Goneana,GNA,,,,,,
Gooty,GY,Andhra Pradesh,,,,,
Gop Jam,GOP,,,,,,
Gopalganj,GOPG,,,,,,
Gopalpur,GPPR,,,,,,
Gora Ghuma,GGM,,,,,,
Gorakhpur Cantonment,GKC,Uttar Pradesh,,,,,
Gorakhpur City,GKY,Uttar Pradesh,,,,,
Gorakhpur Junction,GKP,Uttar Pradesh,,1366 m,"It became the world's longest platform on October 8, 2013.[79]",,
Goram Ghat,GGO,,,,,,
Goraul,GRL,,,,,,
Goraya,GRY,,,,,,
Goregaon,GMN,Maharashtra,WR/Western,,,,
Goregaon Road Halt,GNO,Maharashtra,KR / Konkan Railway,13 m,[80],,
Goresuar,GVR,,,,,,
Goriyan,GIO,,,,,,
Goshainganj,GGJ,,,,,,
Gossaigaon Hat,GOGH,Assam,NFR/Northeast Frontier,50 m,[81],,
Gotan,GOTN,,,,,,
Gotegaon,GON,,,,,,
Gothaj,GTE,,,,,,
Govandi,,Maharashtra,Harbour (CR),,,,
Goverdhan,GDO,Uttar Pradesh,,,,,
Govindgarh,GVG,,,,,,
Govindgarh Malk,GND,,,,,,
Govindi Marwar,GVMR,Rajasthan,,,,,
Govindnagar,GOVR,,,,,,
Govindpuri,GOV,Uttar Pradesh,,,,,
"Govindpuri, Kanpur",GOY,Uttar Pradesh,NCR/North Central Railway,,,,
Grant Road,GTR,Maharashtra,WR/Western,,,,
Gudha,GA,,,,,,
Guindy,,Tamil Nadu,,,,,
Gubbi,GBB,,,,,,
Gudivada Junction,GDV,Andhra Pradesh,South Central Railway zone,,,,
Gudiyattam,GYM,Tamil Nadu,,,,,
Gudur Junction,GDR,Andhra Pradesh,,,,,
Gujhandi,GJD,,,,,,
Gulabhganj,GLG,,,,,,
Gulabpura,GBP,,,,,,
Gulaothi,GLH,,,,,,
Gularbhoj,GUB,,,,,,
Gulbarga,GR,Karnataka,,,,,
Guldhar,GUH,Uttar Pradesh,,,,,
Guledagudda Rd,GED,,,,,,
Guler,GULR,,,,,,
Gulzarbagh,GZH,,,,,,
Guma,GUMA,,,,,,
Gumia,GMIA,,,,,,
Gumman,GMM,,,,,,
Gummidipundi,GPD,Tamil Nadu,,,,,
Gumthal,GTF,,,,,,
Guna,GUNA,Madhya Pradesh,WR,,,,
Gundardehi,GDZ,,,,,,
Guneru Bamori,GVB,,,,,,
Guntakal Junction,GTL,Andhra Pradesh,,,,,
Guntur Junction,GNT,Andhra Pradesh,,,,,
Guptipara,GPA,West Bengal,,,,,
Guraru,GRRU,,,,,,
Gurap,GRAE,West Bengal,,,,,
Gurdaspur,GSP,,,,,,
Gurgaon,GGN,Haryana,,,,,
Gurhi,GUX,,,,,,
Guriya,GRI,,,,,,
Gurla,GQL,Rajasthan,,,,,
Gurmura,GMX,,,,,,
Gurpa,GAP,,,,,,
Gursahaiganj,GHJ,,,,,,
Gursar Shnewala,GSW,,,,,,
Gauravpur,GUV,,,,,,
Guru Tegh Bahadur Nagar,,Maharashtra,Harbour (CR),,,,
Guruvayur,GVR,Kerala,,,,,
Guwahati,GHY,Assam,NFR/Northeast Frontier,58 m,[82],,
Gwalior,GWL,Madhya Pradesh,,,,,
Gyanpur Road,GYN,Uttar Pradesh,,Ghorasahan,GRH,Bihar,
,,,,,,,
H[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Hazrat Nizamuddin,NZM,Delhi,,,,,
Habaipur,HWX,Assam,NFR/Northeast Frontier,93 m,[83],,
Habibganj,HBJ,Madhya Pradesh,,,,,
Habibwala,HBW,,,,,,
Hadapsar,HDP,Maharashtra,,,,,
Hadmadiya,HRM,,,,,,
Hadmatiya Junction,HM,,,,,,
Hafizpur,HZR,,,,,,
Haflong Hill,HFG,Assam,NFR/Northeast Frontier,543 m,[84],,
Haiaghat,HYT,,,,,,
Haibargaon,HBN,Assam,NFR/Northeast Frontier,68 m,[85],,
Haidergarh,HGH,,,,,,
Hailakandi,HKD,Assam,NFR/Northeast Frontier,28 m,[86],,
Hajipur Junction,HJP,Bihar,,,,,
Hakimpur,HKP,,,,,,
Haldaur,HLDR,,,,,,
Haldi Road,HLDD,,,,,,
Haldibari,HDB,West Bengal,,,,,
Haldwani,HDW,Uttarakhand,,,,,
Halisahar,HLR,West Bengal,Eastern Railway,,,,
Halvad,HVD,,,,,,
Hamira,HMR,,,,,,
Hamirgarh,HMG,,,,,,
Hamirpur Road,HAR,Himachal Pradesh,,,,,
Hanakere,HNK,,,,,,
Handia Khas,HDK,,,,,,
Hansi,HNS,Haryana,,,,,
Hansiawas,HSWS,,,,,,
Hanumangarh Junction,HMH,Rajasthan,,,,,
Hanumangarh town,HMO,Rajasthan,,,,,
Hanwant,HWT,Rajasthan,,,,,
Hapa,HAPA,Gujarat,,,,,
Hapur,HPU,Uttar Pradesh,,,,,
Harangajao,HJO,Assam,NFR/Northeast Frontier,154 m,[87],,
Harangul,HGL,Maharashtra,CR/Central,644 m,[88],,
Haranya Kheri,HKH,,,,,,
Harauni,HRN,,,,,,
Harawada,HAA,Karunadu,KR,,,,
Harchandpur,HCP,,,,,,
Harda,HD,Madhya Pradesh,,,,,
Hardoi,HRI,Uttar Pradesh,,,,,
Harduaganj,HGJ,,,,,,
Haridwar Junction,HW,Uttarakhand,,,,,
Harihar,HRR,Karnataka,,,,,
Harinagar,HIR,,Uttarakhand,,,,
Haripad,HAD,Kerala,,,,,
Haripur,HP,,,,,,
Harischandrapur,HCR,West Bengal,,,,,
Harishankar Rd,HSK,Odisha,,,,,
Harisinga,HRSN,,,,,,
Harkia Khal,HKL,,,,,,
Harmuti,HMY,Assam,,,,,
Harnaut,HRT,Bihar,,,,,
Harpalganj,HRPG,,,,,,
Harpalpur,HPP,Uttar Pradesh,,,,,
Harrawala,HRW,,,,,,
Harsauli,HSI,,,,,,
Harsud,HRD,,,,,,
Harthala,HRH,,,,,,
Harwada,HAA,,,,,,
Hasimara,HSA,West Bengal,,,,,
Hassan,HAS,Karnataka,,,,,
Hasanparti Road,,Telangana,,,,,
Hathbandh,HN,Chhattisgarh,,,,,
Hathidah Junction,HTZ,Bihar,,,,,
Hathigadh,HTGR,,,,,,
Hathras City,HTC,Uttar Pradesh,,,,,
Hathras Junction,HRS,Uttar Pradesh,,,,,
Hathras Road,HTJ,Uttar Pradesh,,,,,
Hathras Qilla,HTJ,Uttar Pradesh,,,,,
Hatia,HTE,Jharkhand,,,,,
Hatikhali,HTL,Assam,NFR/Northeast Frontier,289 m,[89],,
Hatkanagale,HTK,,,,,,
Hatundi,HTD,,,,,,
Haveri,HVR,Karnataka,,,,,
Hazaribagh Road,HZD,Jharkhand,,,,,
Hejjala,HJL,Karnataka,SWR/South Western,773 m,[90],,
Helak,HK,,,,,,
Helem,HML,,,,,,
Hempur,HMP,,,,,,
Hendegir,HNDR,,,,,,
Hilara,HLX,Assam,NFR/Northeast Frontier,24 m,[91],,
Hilsa (Kapsima)Vikas kumar),HIL,Bihar,,,,,
Himayatnagar,HEM,,,,,,
Himmatnagar,HMT,Gujarat,,,,,
Hindaun City railway station,HAN,Rajasthan,,,,,
Hind Motor,,West Bengal,,,,,
Hindu College,HC,Tamil Nadu,SR/Southern,28 m,,,
Hindumalkote,HMK,,,,,,
Hindupur Junction,HUP,Andhra Pradesh,,,,,
Hinganghat,HGT,Maharashtra,,,,,
Hingoli Deccan,HNL,Maharashtra,,,,,
Hira Nagar,HRNR,,,,,,
Hirakud,HKG,Odisha,,,,,
Hirapur,HPR,,,,,,
Hirdagarh,HRG,,,,,,
Hirnoda,HDA,,,,,,
Hisar,HSR,Haryana,,,,,
Hisvahal,HSL,,,,,,
Hodal,HDL,Haryana,,,,,
Hojai,HJI,Assam,NFR/Northeast Frontier,78 m,,,
Hol,HOL,,,,,,
Holambi Kalan,HUK,Delhi,Northern Railway,223.15 m,,,
Hole Alur,HLAR,Karnataka,,,,,
Honnavar,HNA,Karnataka,KRCL,,,,
Hooghly,HGY,West Bengal,,,,,
Homnabad,HMBD,Karnataka,,,,,
Hooghly Ghat,HYG,West Bengal,,,,,
Hosdurga Road,HSD,,,,,,
Hoshangabad,HBD,Madhya Pradesh,,,,,
Hoshiarpur,HSX,Punjab,,,,,
Hospet Junction,HPT,Karnataka,,,,,
Hosur,HSRA,Tamil Nadu,,,,,
Hotgi Junction,HG,Maharashtra,,,,,
Howbadh Jabalpur,HBG,,,,,,
Howrah,HWH,West Bengal,Largest Station in India,,,,
Hubli Central Junction,UBL,Karnataka,Headquarters of South Western Railway zone,,,,
Hugrajuli,HJLI,,,,,,
Husainpur,HSQ,,,,,,
Hyderabad DeccanNampally,HYB,Telangana,,,,,
,,,,,,,
I[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Ib,IB,Odisha,SECR/Bilaspur,203m,,,
Ichapur,unknown,West Bengal,,,,,
Ichapuram,IGP,Andhra Pradesh,,,,,
Ichauli,ICL,,,,,,
Idar,IDAR,GJ,WR/Ahmedabad,220m,,,
Idgah Agra Junction,IDH,Uttar Pradesh,North Central Railway,,,,
Igatpuri,IGP,Maharashtra,,,,,
Ikkar,IKK,,,,,,
Iklehra,IKR,,,,,,
Inchhapuri,IHP,Haryana,,,,,
Indalvai,IDL,,,,,,
Indapur,INP,Maharashtra,KR / Konkan Railway,20 m,[92],,
Indara Junction,IAA,Uttar Pradesh,,,,,
Indargarh,IDG,,,,,,
Indi Road,IDR,,,,,,
Indore Junction (BG),INDB,Madhya Pradesh,,,,,
Indore Junction (MG),INDM,Madhya Pradesh,,,,,
Innanje,INJ,,,,,,
Intikanne,,,,,,,
Intiyathok,ITE,,,,,,
Itehar,AAH,Madhya Pradesh,,,,,
Iqbal Gadh,IQG,,,,,,
Iqbalpur,IQB,,,,,,
Irinjalakuda,IJK,Kerala,,,,,
Irugur(Coimbatore),IGU,Tamil Nadu,,,,,
Isarda,ISA,,,,,,
Islampur,IPR,Bihar,,,,,
Ismaila Haryana,ISM,Haryana,,,,,
Itarsi Junction,ET,Madhya Pradesh,,,,,
Itola,ITA,,,,,,
Itwari,ITR,Maharashtra,SECR/Nagpur,305m,,,
Izzatnagar,IZN,Uttar Pradesh,NER/Izzatnagar,180m,,,
,,,,,,,
J[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Jabalpur,JBP,Madhya Pradesh,West central,417 m,,,
Jabli,JBL,,,,,,
Jabri,JBX,,,,,,
Jadar,JADR,,,,,,
Jadcherla,JCL,Telangana,,,,,
Jagadhri,JUD,Haryana,,,,,
Jagadhri Workshop,JUDW,Haryana,,,,,
Jagadishpur,JGD,,,,,,
Jagaddal,JDL,West Bengal,,,,,
Jessore Road,JSOR,West Bengal,,,,,
Jagatbela,JTB,,,,,,
Jagdalpur,JDB,Chhattisgarh,ECoR / East Coast,,,,
Jagdevwala,JDL,,,,,,
Jagesharganj,JGJ,,,,,,
Jagi road,JID,Assam,NFR/Northeast Frontier,62 m,[93],,
Jagnath Road Halt,JNX,Rajasthan,,,,,
Jagraon,JGN,Punjab,,,,,
Jahanikhera,JKH,,,,,,
Jaipur,JP,Rajasthan,North Western,434m,http://indiarailinfo.com/station/map/jaipur-junction-jp/272,,
Jais,JAIS,Uttar Pradesh,,,,,
Jaisalmer,JSM,Rajasthan,224 m,,,,
Jaithari,JTI,,,,,,
Jaitipur,JTU,,,,,,
Jaitwar,JTW,,,,,,
Jajiwal,JWL,,,,,,
Jajpur Kheonjhar Road,JJKR,Odisha,,,,,
Jakhal Junction,JHL,Haryana,,,,,
Jakhalabandha,JKB,Assam,NFR/Northeast Frontier,73 m,[94],,
Jakhalaun,JLN,,,,,,
Jakhania,JKN,Uttar Pradesh,,,,,
Jakhaura,JHA,,,,,,
Jakhim,JHN,,,,,,
Jakhvada,JKA,,,,,,
Jaksi,JKS,,,,,,
Jalalganj,JLL,,,,,,
Jalalpur Dhai,JPD,,,,,,
Jalamb Junction,JM,Maharashtra,,,,,
Jalandhar Cantonment,JRC,Punjab,,,,,
Jalandhar City,JUC,Punjab,238 m,,,,
Jalesar Road,JLS,Uttar Pradesh,,,,,
Jaleswar,JER,Odisha,13 m,,,,
Jalgaon Junction,JL,Maharashtra,213 m,,,,
Jalila Road,JIL,,,,,,
Jaliya Devani,JALD,,,,,,
Jalna,J,Maharashtra,,,,,
Jalor,JOR,Rajasthan,,,,,
Jalpaiguri,JPG,West Bengal,84 m,,,,
Jalpaiguri Road,JPE,West Bengal,,,,,
Jalsu,JAC,,,,,,
Jalsu Nanak,JACN,,,,,,
Jam Jodhpur Junction,JDH,Rajesthan,,,,,
Jam Wanthali,WTJ,,,,,,
Jamalpur Junction,JMP,Bihar,59 m,,,,
Jambara,JMV,,,,,,
Jambur,JBB,,,,,,
Jamira,JMRA,Assam,NFR/Northeast Frontier,51 m,[95],,
Jammalamadugu,JMDG,Andhra Pradesh,,,,,
Jammikunta,JMKT,Telangana,,,,,
Jammu Tawi,JAT,Jammu & Kashmir,336 m,,,,
Jamnagar,JAM,Gujarat,,,,,
Jamsar,JMS,,,,,,
Jamtara,JMT,Jharkhand,182 m,,,,
Jamui,JMU,Bihar,66 m,,,,
Jamunamukh,JMK,Assam,NFR/Northeast Frontier,70 m,[96],,
Jamwala,JVL,,,,,,
Janakpur Road,JNR,Bihar,ECR,,,,
Jandiala,JNL,,,,,,
Jangaon,ZN,Telangana,SCR,380 m,,,
Janghai Junction,JNH,Uttar Pradesh,92 m,,,,
Jangipur Road,JRLE,West Bengal,34 m,,,,
Janiyana,JNE,,,,,,
Jankampet Junction,JKM,,,,,,
Jaora,JAO,,,,,,
Japla,JPL,,,,,,
Jarandeshwar,JSV,,,,,,
Jargaon,JRJ,,,,,,
Jari,JARI,Gujarat,,,,,
Jaruda Naraa,,,,,,,
Jarwal Road,JLD,,,,,,
Jasia,JSA,Haryana,,,,,
Jasali,JSI,,,,,,
Jasidih Junction,JSME,Jharkhand,271 m,,,,
Jasra,JSR,,,,,,
Jaswantgarh,JSH,,,,,,
Jaswantnagar,JGR,,,,,,
Jataula Samphka,JSKA,Haryana,,,,,
Jath Road,JTRD,,,,,,
Jatinga,JTG,Assam,NFR/Northeast Frontier,298 m,[97],,
Jatusana,JTS,Haryana,,,,,
Jaulka,JUK,,,,,,
Jaunpur City Railway Station,JOP,Uttar Pradesh,NR/Northern Railway,87 m,[98],,
Jaunpur Junction,JNU,Uttar Pradesh,NR/Northern Railway,83 m,[99],,
Javale,JVA,,,,,,
Jawad Road,JWO,Madhya Pradesh,,,,,
Jawai Bandh,JWB,,,,,,
Jawali,JAL,Rajasthan,,,,,
Jawalamukhi Road,JMKR,Himachal Pradesh,598 m,,,,
Jayasingpur,JSP,,,,,,
Jaynagar,JYG,Bihar,,,,,
Jaynagar Majlipur,JNM,,,,,,
Jehanabad,JHD,Bihat,,,,,
Jejuri,JJR,,,,,,
Jenal,JNZ,Gujarat,,,,,
Jeonathpur,JEP,,,,,,
Jetalsar Junction,JLR,Gujarat,,,,,
Jetalvad,JTV,,,,,,
Jetpur,JTP,Gujarat,,,,,
Jeur,JEUR,Maharashtra,,,,,
Jagannath Temple Gate,JGE,Odisha,,,,,
Jhadupudi,JPI,Andhra Pradesh,,,,,
Jhagadiya Junction,JGI,,,,,,
Jhajha,JAJ,Bihar,142 m,,,,
Jhalawar Road,JHW,Rajasthan,,,,,
Jhalida,JAA,West Bengal,,,,,
Jhanjharpur,JJP,Bihar,,,,,
Jhansi Junction,JHS,Uttar Pradesh,North Central Railway,,,,
Jhargram,JGM,West Bengal,,,,,
Jharia,JRI,Jharkhand,,,,,
Jharokhas,JRQ,,,,,,
Jharsuguda Junction,JSG,Odisha,,,,,
Jharwasaa,JWS,,,,,,
Jhingura,JHG,,,,,,
Jhinjhak,JJK,Uttar Pradesh,NCR/North Central Railway,131 m,,,
Jhunjhunu,JJN,Rajasthan,,,,,
Jhunpa,JUP,,,,,,
Jigna,JIA,,,,,,
Jind Junction,JIND,Haryana,,,,,
Jira Road,JIR,,,,,,
Jiradei,ZRD,,,,,,
Jiribam,JRBM,Manipur,NFR/Northeast Frontier,46 m,[100],,
Jirighat,JIGT,Assam,NFR/Northeast Frontier,42 m,[101],,
Jiron,JRO,,,,,,
Jiyapuram,JPM,Tamil Nadu,,,,,
Jodhpur Junction,JU,Rajasthan,,,,,
Jogbani,JBN,Bihar,,,,,
Jogeshwari,JOS,Maharashtra,WR/Western,,,,
Jogi Magra,JOM,,,,,,
Jogidih,JGF,,,,,,
Jogighopa,JPZ,Assam,NFR/Northeast Frontier,41 m,[102],,
Joginder Nagar,JDNX,Himachal Pradesh,,,,,
Jogiwala,JGW,,,,,,
Jolarpettai Junction,JTJ,Tamil Nadu,,,,,
Jone Karrang,JYK,,,,,,
Joravaragar,JVN,Gujarat,,,,,
Jorhat,JT,Assam,,,,,
Jorhat Town,JTTN,Assam,,,,,
Jotana,JTN,,,,,,
Joychandi Pahar railway station,JOC,West Bengal,JOC,SER,,,
Juchandra,,Maharashtra,CR/Central,,,,
Jugijan,JGJN,Assam,NFR/Northeast Frontier,73 m,[103],,
Juinagar,,Maharashtra,Harbour/Trans-Harbour (CR),,,,
Jukehi,JKE,,,,,,
Julana,JNA,Haryana,,,,,
Junagadh C B,JNDC,Gujarat,,,,,
Junagadh Junction,JND,Gujarat,WR/Western,86 m,http://indiarailinfo.com/station/map/junagadh-junction-jnd/2125,,
Jung Bahadurganj,JBG,,,,,,
Junichavand,JCN,,,,,,
Junnor Deo,JNO,,,,,,
Juriagaon,JRX,Assam,NFR/Northeast Frontier,68 m,[104],,
Jutogh,JTO,Himachal Pradesh,,,,,
Jwalapur,JWP,,,,,,
,,,,,,,
K[edit],,,,,,,
,,,,,,,
Station Name,Station Code,State,Railway Zone,Elevation,Map,,
Kacheguda,KCG,Telangana,SCR/South Central,,,,
Kachhwa Road,KWH,,,,,,
Kadalundi,KN,Tamil Nadu,,,,,
Kadambur,KDU,Tamil Nadu,,,,,
Kadaynallur,KDNL,Tamil Nadu,,,,,
Kadiri,KRY,Andhra Pradesh,,,,,
Kadur Junction,DRU,Karnataka,SWR/South Western Railway,,,,
Kaithalkuchi,KTCH,Assam,NFR/Northeast Frontier,50 m,[105],,
Kakinada Port,COA,Andhra Pradesh,,,,,
Kakinada Town,CCT,Andhra Pradesh,,,,,
Kankinara,KNR,West Bengal,,,,,
Kalachand,KQI,Assam,NFR/Northeast Frontier,267 m,[106],,
Kalamboli,,Maharashtra,CR/Central,,,,
Kalanaur kalan,KLNK,Haryana,,,,,
Kalka,KLK,Haryana,656 m,,,,
Kalkalighat,KKGT,Assam,NFR/Northeast Frontier,31 m,[107],,
Kalwa,,Maharashtra,CR/Central,,,,
