Anjar,AJE,Gujarat,
Anjhi Shahabad,AJI,Uttar Pradesh,
Ankai,ANK,Maharashtra,
Ankleshwar Junction,AKV,Gujarat,
Ankola,ANKL,Karnataka,
Annanur,ANNR,Tamil Nadu,
Annavaram,ANV,Andhra Pradesh,
Annigeri,NGR,Karnataka,
Anpara,ANPR,Uttar Pradesh,
Antah,ATH,Rajasthan,
Antu,ANTU,Uttar Pradesh,
Anugraha Narayan Road,AUBR,Bihar,
Anupgarh,APH,Rajasthan,
Anuppur Junction,APR,Madhya Pradesh,
Anupshahr,AUS,Uttar Pradesh,
Aonla,AO,Uttar Pradesh,
Ara,ARA,Bihar,
Arakkonam Junction,AJJ,Tamil Nadu,
Araku,ARK,Andhra Pradesh,
Aralvaymozhi,AAY,Tamil Nadu,
Arariya,ARR,Bihar,
Arariya Court,ARQ,Bihar,
Arasur,ARS,Tamil Nadu,
Aravalli Road,AVRD,Maharashtra,
Arunachal,ARCL,Assam,
Aravankadu,AVK,Tamil Nadu,
Ariyalur,ALU,Tamil Nadu,
Arjansar,AS,Rajasthan,
Arnetha,ARE,Rajasthan,
Arni Road,ARV,Tamil Nadu,
Arsikere Junction,ASK,Karnataka,
Aruppukottai,APK,Tamil Nadu,
Arvi,ARVI,Maharashtra,
Aryankavu,AYV,Kerala,
Asafpur,AFR,Uttar Pradesh,
Asalpur Jobner,JOB,Rajasthan,
Asangaon,ASO,Maharashtra,
Asansol Junction,ASN,West Bengal,
Asaoti,AST,Haryana,
Ashok Nagar,ASKN,Madhya Pradesh,
Aslana,ANA,Madhya Pradesh,
Aslaoda,ASL,Madhya Pradesh,
Asnoti,AT,Karnataka,
Asokhar,AXK,Madhya Pradesh,
Asranada,AAS,Rajasthan,
Atari,ATT,Punjab,
Atarra,ATE,Uttar Pradesh,
Ateli,AEL,Haryana,
Atgaon,ATG,Maharashtra,
Athipattu,AIP,Tamil Nadu,
Athipattu Pudhunagar,AIPP,Tamil Nadu,
Atrampur,ARP,Uttar Pradesh,
Atrauli Road,AUR,Uttar Pradesh,
Atru,ATRU,Rajasthan,
Attabira,ATS,Odisha,
Attar,ATR,Madhya Pradesh,
Attur,ATTR,Tamil Nadu,
Aujari,AJRE,Assam,
Aulenda,AED,Uttar Pradesh,
Aunrihar Junction,ARJ,Uttar Pradesh,
Aurangabad,AWB,Maharashtra,
Auvaneswarem,AVS,Kerala,
Auwa,AUWA,Rajasthan,
Avadi,AVD,Tamil Nadu,
Ayodhya,AY,Uttar Pradesh,
Azamgarh,AMH,Uttar Pradesh,
Azamnagar Road,AZR,Bihar,
Azara,AZA,Assam,
Azimganj City,ACLE,West Bengal,
Azimganj Junction,AZ,West Bengal,
B[edit],,,
Station Name,Station Code,State,
Babarpur,BBDE,Haryana,
Babatpur,BTP,Uttar Pradesh,
Bebejia,BEE,Assam,
Babhnan,BV,Uttar Pradesh,
Babina,BAB,Madhya Pradesh,
Babrala,BBA,Uttar Pradesh,
Babugarh,BBO,Uttar Pradesh,
Babupeth,BUPH,Maharashtra,
Bacheli,BCHL,Chhattisgarh,
Bachhrawan,bgl,Uttar Pradesh,
Bachwara Junction,BCA,Bihar,
Badmal,BUDM,Odisha,
Baad,BAD,Uttar Pradesh,
Badami,BDM,Karnataka,
Badampahar,BMPR,Jharkhand,
Badampudi,BPY,Andhra Pradesh,
Badurpur Ghat,BPG,Assam,
Badarpur Junction,BPB,Assam,
Badausa,train,Uttar Pradesh,
Badgam,BDGM,Jammu & Kashmir,
Badhada,BDHA,Gujarat,
Badhal,BDHL,Rajasthan,
Badlapur,BUD,Maharashtra,
Badli,BHD,Delhi,
Badnapur,BDU,Maharashtra,
Badnera Junction,BD,Maharashtra,
Badshahnagar,BNZ,Uttar Pradesh,
Badshahpur,BSE,Haryana,
Badwasi,BWS,Rajasthan,
Bagaha,BUG,Bihar,
Bagalkot,BGK,Karnataka,
Bagbahra,BGBR,Chhattisgarh,
Bagetar,BF,Assam,
Bagevadi Rd,BSRX,Karnataka,
Baghauli,BGH,Uttar Pradesh,
Baghora,BJQ,Madhya Pradesh,
Bagra Tawa,BGTA,Madhya Pradesh,
Bagri Nagar,BQN,,
Bagri Sajjanpur,BGX,,
Bagwali,BWB,,
Bahadur Singh W,BSS,,
Bahadurgarh,BGZ,Haryana,
Bahadurpur,BPD,,
Baheri,BHI,,
Bahilpurwa,BIP,,
Bahirkhand,BHAW,West Bengal,
Bahjoi,BJ,,
Bahraich,BRK,Uttar Pradesh,
Baidyanathdham,BDME,Jharkhand,
Baihata Chariali,BIZ,Assam,
Baiguda,BGUA,Odisha,
Baijnathpur,BYP,,
Baikunthpur Rd,BRH,Chhattisgarh,
Bainchi / Boinchi,BOI,West Bengal,
Bairabi (Bhairabi),BHRB,Mizoram,
Bairapur,BIP,Madhya Pradesh,
Bairagnia,BGU,,
Baitalpur,BALR,,
Bajva,BJW,,
Bakhtiyarpur Junction,BKP,Bihar,
Bakra Road,BK,Rajasthan,
Balaghat,BTC,Madhya Pradesh,
Balamau Junction,BLM,Uttar Pradesh,
Balangir,BLGR,Odisha,
Balasore,BLS,Odisha,
Balauda Takun,BLDK,,
Balawala,BLWL,,
Balawali,BLW,,
Balharshah,BPQ,Maharashtra,
Baliakheri,BAE,,
Balikotia,BKS,Assam,
Balipara,BVU,Assam,
Ballabhgarh,BVH,Haryana,
Balli,BLLI,,
Ballia,BUI,Uttar Pradesh,
Ballupur,BAPR,Uttar Pradesh,
Bally,BLY,West Bengal,
Ballygunge Junction,BLN,West Bengal,
Balrampur,BLP,Madhya Pradesh,
Balsamand,BLSD,,
Balugan,BALU,Odisha,
Balwa,WAB,,
Balwara,BAWA,Rajasthan,
Bamangachhi,BMG,West Bengal,
Bamanheri,BMHR,,
Bamhani,BMW,,
Bamla,BMLL,Haryana,
Bamnia,BMI,,
Bamsin,BMSN,Rajasthan,
Bamra,BMB,Odisha,
Bamsin,BMSN,,
Bamuni Gaon,BGMN,Assam,
Banahi,BYN,,
Banapura,BPF,Madhya Pradesh,
Banar,BNO,Rajasthan,
Banarhat,BNQ,West Bengal,
Banas,BNS,Rajasthan,
Banaswadi,BAND,[Karnataka],
Banasandra,BSN,Karnataka,
Banbasa,BNSA,,
Banda Junction,BNDA,Uttar Pradesh,
Bandakpur,BNU,,
Bandanwara,BDW,Rajasthan,
Bandarkhal,BXK,Assam,
Bandel Junction,BDC,West Bengal,
Bandh Bareta,BR,,
Bandikui Junction,BKI,Rajasthan,
Bandra,BA,Maharashtra,
Bandra Terminus,BDTS,Maharashtra,
Bangalore Cantonment,BNC,Karnataka,
Bangalore City Junction,SBC,Karnataka,
Bangalore East,BNCE,Karnataka,
Bangarapet,BWT,Karnataka,
Bangarapet,BWY,Karnataka,
Bangrod,BOD,,
Bani,BANI,,
Baniya Sanda DH,BSDA,,
Bankata,BTK,,
Bankura,BQA,West Bengal,
Bankura,BQK,West Bengal,
Banmankhi Junction,BNKI,Bihar,
Banmor,BAO,,
Bansdih Road,BCD,,
Banshlai Bridge,BSBR,,
Bansi Paharpur,BIQ,,
Bansipur,BSQP,,
Banasthali Niwai,BNLW,Rajasthan,
Banta Raghunathgarh,BGG,,
Bantawala,BNTL,Karnataka,
Banthra,BTRA,,
Banwali,BWC,,
Baori Thikria,BOTI,,
Bapatla,BPP,Andhra Pradesh,
Bar,BAR,,
Bara Jamda,BJMD,Jharkhand,
Barabanki Junction,BBK,Uttar Pradesh,
Barabhum,BBM,West Bengal,
Barbil,BBN,Odisha,
Baradwar,BUA,,
Baragaon,BNM,,
Barahu,BRHU,Assam,
Baraigram Junction,BRGM,Assam,
Barakar,BRR,West Bengal,
Baral,BARL,,
Baramati,BRMT,Maharashtra,
Baran,BAZ,Rajasthan,
Baranagar,BARN,West Bengal,
Barara,RAA,Haryana,
Barasat Junction,BT,West Bengal,
Barauni Junction,BJU,Bihar,
Barbatpur,BBTR,,
Barchi Road,BCRD,,
Barddhaman Junction,BWN,West Bengal,
Bardoli,BIY,Gujarat,
Bareilly,BE,Uttar Pradesh,
Bareilly,BRY,Uttar Pradesh,
Bareilly Cantt,BRYC,Uttar Pradesh,
Barejadi,BJD,,
Bareta,BRZ,,
Bareth,BET,Madhya Pradesh,
Bargarh Road,BRGA,Odisha,
Bargawan,BRGW,,
Barh,BARH,Bihar,
Barhan,BRN,,
Barharwa Junction,BHW,Jharkhand,
